Date,Close,High,Low,Open,Volume
3/22/2023,22.26000023,22.37999916,19.94000053,21.79999924,0
3/23/2023,22.61000061,24.90999985,20.15999985,21.54000092,0
3/24/2023,21.73999977,25.20999908,21.60000038,22.11000061,0
3/27/2023,20.60000038,22.93000031,20.56999969,22.04999924,0
3/28/2023,19.96999931,21.39999962,19.90999985,20.53000069,0
3/29/2023,19.12000084,19.45000076,19.09000015,19.38999939,0
3/30/2023,19.02000046,20.07999992,18.85000038,19.12000084,0
3/31/2023,18.70000076,19.43000031,18.52000046,19.20999908,0
4/3/2023,18.54999924,19.82999992,18.54000092,19.79000092,0
4/4/2023,19,20.03000069,18.57999992,18.79000092,0
4/5/2023,19.07999992,20.07999992,19,19.42000008,0
4/6/2023,18.39999962,19.87999916,18.35000038,19.29999924,0
4/10/2023,18.96999931,20.04999924,18.93000031,19.38999939,0
4/11/2023,19.10000038,19.28000069,18.55999947,19.07999992,0
4/12/2023,19.09000015,19.97999954,18.25,19.37999916,0
4/13/2023,17.79999924,19.05999947,17.77000046,18.82999992,0
4/14/2023,17.06999969,18.12000084,17.06999969,17.94000053,0
4/17/2023,16.95000076,17.79000092,16.89999962,17.57999992,0
4/18/2023,16.82999992,17.34000015,16.57999992,16.94000053,0
4/19/2023,16.45999908,17.71999931,16.17000008,17.29999924,0
4/20/2023,17.17000008,17.69000053,16.32999992,16.85000038,0
4/21/2023,16.77000046,17.70999908,16.57999992,17.51000023,0
4/24/2023,16.88999939,18.23999977,16.73999977,18.21999931,0
4/25/2023,18.76000023,19.86000061,17.32999992,17.62000084,0
4/26/2023,18.84000015,19.61000061,17.87000084,18.65999985,0
4/27/2023,17.03000069,18.43000031,16.71999931,18.43000031,0
4/28/2023,15.77999973,17.64999962,15.72000027,17.20999908,0
5/1/2023,16.07999992,16.62000084,15.52999973,16.40999985,0
5/2/2023,17.78000069,19.80999947,16.26000023,16.27000046,0
5/3/2023,18.34000015,18.82999992,17.19000053,17.81999969,0
5/4/2023,20.09000015,21.32999992,18.67000008,19.17000008,0
5/5/2023,17.19000053,19.62999916,16.69000053,19.5,0
